author,anomaly_score_iforest,anomaly_score_lof
Karel Hochperk,0.036548226014426866,1.321322
Eva Marešová,0.03647644763659197,1.0657455
Franta Fous,0.03644665649449552,1.1329504
Pavel Rezek,0.03611595372958598,1.1550093
Marie Vlková,0.0360369792420655,1.0288534
Zdenek Šoller,0.03589560640448852,1.0671608
Petr Chuchvalec,0.035814774362289414,1.0972157
Jakub Krejčí,0.03579688504309353,1.0309719
Luboš Král,0.03561338173422535,1.0683286
Kamil Olšanský,0.03558518934766397,1.0506556
Pavol Keves,0.03547466136586652,1.2827847
Jan Mořkovský,0.035082657899080716,1.0654461
Jindřich Švábenský,0.03498601326471773,1.0252154
Pavel Hedvičák,0.03494692213737227,1.3652127
Mirek Dusik,0.03459597800426306,1.2490236
Roman Janku,0.03454502836545925,1.1879879
Vaclav Balogh,0.03451756948547735,1.2525913
Milan Meravy,0.03440727393802212,1.2610186
Tomaško Juraj,0.03432861740928639,1.3827201
Martin Polák,0.03432525560762478,1.1485292
Robert Homolka,0.034161049284433864,1.0623848
Mirek Štraub,0.03411036722159877,1.0991936
Miloslav Tesař,0.03410434884136182,1.1066219
Jaroslav Alois,0.034060531679116046,1.0839863
Luděk Smrčka,0.03400855885897336,1.0232623
Marci Sevcik,0.03386395062226888,1.3173327
Jan Buček,0.033638092158271404,1.2288538
Dalibor Hora,0.03358148934421712,1.0497915
Vlastimil Ovský,0.03330199631855524,1.0351338
Jiri Baca,0.0331702575339059,1.1450043
Jaroslav Rafaj,0.03309802083092783,1.421259
Miroslav Vala,0.03309134177886497,1.0271962
Petr Heinrich,0.03293333661913023,1.1082509
Jan Potměšil,0.032911894580611833,1.0006596
Zdeněk Kulhánek,0.03290358621289724,1.2164788
Ludmila Halaštová,0.03287653606390517,1.0623586
Martin Zach,0.03287191996843508,1.0179272
Jan Rádl,0.03278046541737001,1.0812935
Miroslav Cajthaml,0.03269181135354515,1.0664861
Anna Pěkná,0.03265327078642111,1.0554377
Miloš Svoboda,0.032465822252850995,1.0088367
Karel Nutek,0.03232259725937803,1.4378428
Blanka Jankovská,0.03197469644075335,1.2271975
Milan Pucok,0.031909851350333085,1.0684459
Vit Pospisil,0.03177922973695957,0.99015045
Zdeněk Šmerda,0.03161209854274827,1.0720158
Oldřich Kolář,0.03161170556029047,1.0159552
Juraj Seman,0.03160939516483219,1.0998536
Stanislav Hirt,0.03155095839219557,1.2370548
Marian Velas,0.03155022047613598,1.0248682
František Koudelka,0.03146763612911363,1.176961
Jaroslav Vojtěch,0.031391620907520124,1.080889
Daniel Dvořák,0.03136590368096115,1.151338
Josef Moravec,0.031193162841435917,1.1747305
Josef Taubenhansl,0.031123227867441705,1.127031
Petr Kejř,0.031040496703903298,1.0464206
Ivana Bednářová,0.030914476866321317,1.1190977
Petra Varhanová,0.030881556361540552,1.1035397
Zdeněk Konderla,0.03081518358906965,1.0429634
Marek Cvak,0.030749124393130822,1.202524
Petr Horned,0.03067556097927704,1.0603008
Ilia Tichý,0.030614440779353935,1.2935832
Jiří Brzek,0.030517315852196747,1.0409676
Zdeněk Dušek,0.030252046243688047,1.175226
Martin Lang,0.03025102841941285,1.1407903
Jaro Simo,0.030237796118224414,1.1163654
Vladimír Bulka,0.03021364427302542,1.0182554
Drahomír Krejčí,0.03009334414411846,1.123632
Jan Datel,0.030046643074515433,1.103102
Eliška Šestáková,0.02995535536082461,1.0561173
Vladimír Pýcha,0.02988672996002517,1.1102082
Pavol Vraštiak,0.02979729409084808,1.0074556
Jaroslav Kotula,0.029647799708749423,1.0615185
Martin Mrázek,0.0295988589808297,1.068563
Jaromír Horák,0.029475192779830905,1.0261221
Marie Kopejsková,0.029176435623335495,1.2933581
Renata Šulcová,0.029123238526689077,1.1996253
Pavol Urbánek,0.02900310137399409,1.065295
Václav Sponar,0.028871922285635065,1.0283763
Roman Jurek,0.028859951438756637,1.1411732
Kuba Novák,0.028520746698955768,1.0097317
Jindřich Ryška,0.028512852541070388,1.0863204
Ivo Naiman,0.02847785694994165,1.1123732
Tomas Hraj,0.028465179595815626,1.0383632
Jan Ševčík,0.028435059331972323,1.0780566
Luboš Bičiště,0.028428851725053383,1.0581901
Kubla Honza,0.028347733110920093,1.1481903
Jirous Karel,0.028302281161702192,1.016279
Roman Juricka,0.02819868698027206,1.2544569
Miroslav Krejčí,0.027969609197864287,1.0632964
Jiri Tesar,0.02795802351042065,1.1764178
Dana Beňaková,0.027920265229744334,1.1893008
Petr Sívek,0.02784183603193746,1.0550411
Věra Sedláčková,0.0276949324057697,1.0165775
Pavel Lukeš,0.02769227861741641,1.1130614
Jiří Groll,0.02767598011332517,1.0956736
Jaroslav Leden,0.027589777150867523,1.0551684
Miloslav Böhm,0.027514992875951827,1.3244966
Rosťa Pešák,0.02736619259135964,0.9968201
Petr Voborský,0.027250643672414032,1.0749248
Inka Vavrečková,0.02725038493806231,1.3138642
Milan Lysák,0.027147071338633033,1.0635531
Jan Dubský,0.027045857383483307,1.0610635
Petr Živný,0.026980077039928108,1.1128614
Miroslav Matucha,0.026912816868307265,1.0525364
Marek Holeček,0.026611636789636184,1.0438884
Fort Zdenek,0.026449761516277537,1.1770849
Daniel Hofman,0.026447654832623124,1.1176417
David Meister,0.026385695258413056,1.1157414
Jiří Huňáček,0.026172111562177358,1.0406544
Michael Seifert,0.026132309697737832,1.0580999
Kamil Mulinow,0.0260807088093139,1.0020794
Jindřich Hartman,0.02588351745744888,1.1735277
Peter Zatko,0.02579048477559842,1.1971138
Radek Šeda,0.025597283017962824,1.065224
Petr Říčný,0.025569180658573054,1.0451006
Josef Cumba,0.025550912156262817,1.203347
Jiri Vosika,0.025322161991358394,1.1656878
Jiri Kuba,0.025301246656626253,1.0662214
Vladimír Kotzy,0.02509742929128511,1.1571366
Květoslav Zelníček,0.025059549790837243,1.0714855
Pavel Sikora,0.025044081824742492,1.0873424
Tom Kouba,0.02503845503246349,1.0442573
Jiří Kupka,0.02489770998422758,1.1728714
Milan Král,0.024838266983102986,1.1413877
Lukáš Pelcl,0.024799718885547994,1.0269251
Karel Tancoš,0.024729790172040578,1.0579774
Sylva Mareckova,0.024698532237653392,1.0831642
Lída Karafiát,0.02462000434256284,1.2749312
Josef Bártů,0.024601065262834343,1.1262411
Vera Hejdrych,0.024580156143675036,1.0928705
Martin Vávra,0.02447990911366893,1.0090029
Ladislav Růžička,0.024397478061361833,1.0390052
Jan Lukáš,0.024275115973359185,1.0016235
Josef Pinkas,0.0242243243066802,1.1748755
Miroslav Leták,0.0240627958487879,1.1721041
Miroslav Míka,0.02399977314814561,1.0595032
Jiří Pádivý,0.02396598807120398,1.2238617
Libor Weizenbauer,0.023893841386467773,1.5260326
Miroslav Josef Klimeš,0.023874044987394982,1.0792458
Martin Dejl,0.02386275930753523,1.2086563
Tomáš Studzinski,0.02383148591720774,1.0399148
Tomáš Martinek,0.02376888675347988,1.1404722
Jarda Pavlik,0.023736348835501797,1.0918409
Pavel Navratil,0.023676830605054766,1.2035644
Michal Posvic,0.023617015600879476,1.0715045
Miloslav Michalík,0.02348389263369588,1.2047813
Viktor Kubín,0.023452297733108307,1.0237067
Jan Skarke,0.0233690268831791,1.1593283
Martin Ondík,0.023361912229935222,1.2986379
Patrik Nobur,0.023073302583757727,1.1912235
Klára Šindelářová,0.023050408897605346,1.1061528
David Krouzek,0.02300927558060839,1.0868196
Jiří Šperl,0.02291061868313471,1.0950658
Pavel Růžička,0.022823698433319106,1.1160167
Ivan Drábek,0.022812342336088864,1.0171218
Jan Jiří Krnovský,0.022791780131585893,1.0731676
